date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:54	972/972	---M--	200	added ('OK')	text/html	etag:%223cc-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-self-2.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-self-2.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:55	968/968	---M--	200	added ('OK')	text/html	etag:%223c8-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-self-3.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-self-3.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:55	970/970	---M--	200	added ('OK')	text/html	etag:%223ca-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-self-4.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-self-4.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:55	1026/1026	---M--	200	added ('OK')	text/html	etag:%22402-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-self-5.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-self-5.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:55	663/663	---M--	200	added ('OK')	text/html	etag:%22297-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-content-1.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-content-1.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:55	659/659	---M--	200	added ('OK')	text/html	etag:%22293-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-content-2.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-content-2.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:56	655/655	---M--	200	added ('OK')	text/html	etag:%2228f-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-content-3.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-content-3.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:56	669/669	---M--	200	added ('OK')	text/html	etag:%2229d-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-content-4.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-content-4.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:56	667/667	---M--	200	added ('OK')	text/html	etag:%2229b-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-content-5.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-content-5.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:56	657/657	---M--	200	added ('OK')	text/html	etag:%22291-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-content-6.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/align-content-6.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:57	27916/27916	---M--	200	added ('OK')	font/woff	etag:%226d0c-580e8c5a13e00%22	https://www.mclibre.org/consultar/htmlcss/varios/fonts/consolas.woff	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/varios/fonts/consolas.woff	(from https://www.mclibre.org/consultar/htmlcss/varios/htmlcss.css)
